geo,forest_products_removal_per_ha_dollar,time
lso,8.2,2000
lso,9.3,2005
lso,10.4,2010
lso,10.4,2015
lso,10.4,9999
ltu,1412,1990
ltu,1466,2000
ltu,1494,2005
ltu,1549,2010
ltu,1550,2015
ltu,1550,9999
lux,28.3,1990
lux,28.3,2000
lux,28.3,2005
lux,28.3,2010
lux,28.3,2015
lux,28.3,9999
lva,2254,1990
lva,2591,2000
lva,2624,2005
lva,2663,2010
lva,2636,2015
lva,2636,9999
mar,942,1990
mar,983,2000
mar,1037,2005
mar,1099,2010
mar,1155,2015
mar,1155,9999
mco,0,1990
mco,0,2000
mco,0,2005
mco,0,2010
mco,0,2015
mco,0,9999
mda,0,1990
mda,0,2000
mda,0,2005
mda,0,2010
mda,0,2015
mda,0,9999
mdg,3595,1990
mdg,3423,2000
mdg,3274,2005
mdg,3299,2010
mdg,3278,2015
mdg,3278,9999
mex,9225.64,2005
mex,10321.17,2010
mex,10758.1,2015
mex,10758.1,9999
mhl,0,1990
mhl,0,2000
mhl,0,2005
mhl,0,2010
mhl,0,2015
mhl,0,9999
mkd,804,1990
mkd,804,2000
mkd,804,2005
mkd,804,2010
mkd,804,2015
mkd,804,9999
mli,0,1990
mli,0,2000
mli,0,2005
mli,0,2010
mli,0,2015
mli,0,9999
mlt,0,1990
mlt,0,2000
mlt,0,2005
mlt,0,2010
mlt,0,2015
mlt,0,9999
mmr,4422,1990
mmr,24644,2000
mmr,24797,2005
mmr,19633,2010
mmr,20470,2015
mmr,20470,9999
mne,543,2000
mne,543,2005
mne,675,2010
mne,675,2015
mne,675,9999
mng,856,1990
mng,785,2000
mng,757,2005
mng,2722.9,2010
mng,3187.7,2015
mng,3187.7,9999
mnp,0,1990
mnp,0,2000
mnp,0,2005
mnp,0,2010
mnp,0,2015
mnp,0,9999
moz,29138,1990
moz,27667,2000
moz,26922,2005
moz,26212,2010
moz,20144,2015
moz,20144,9999
mrt,0,1990
mrt,0,2000
mrt,0,2005
mrt,0,2010
mrt,0,2015
mrt,0,9999
msr,0,1990
msr,0,2000
msr,0,2005
msr,0,2010
msr,0,2015
msr,0,9999
mtq,14,2005
mtq,14,2010
mtq,1.4,2015
mtq,1.4,9999
mus,12.3,1990
mus,12.6,2000
mus,11.4,2005
mus,11.5,2010
mus,11,2015
mus,11,9999
mwi,962,1990
mwi,1027,2000
mwi,1115,2005
mwi,1195,2010
mwi,1206,2015
mwi,1206,9999
mys,11736,1990
mys,12921,2000
mys,11819,2005
mys,12539,2010
mys,12419,2015
mys,12419,9999
nam,0,1990
nam,0,2000
nam,0,2005
nam,0,2010
nam,0,2015
nam,0,9999
ner,0,1990
ner,0,2000
ner,1.5,2005
ner,9,2010
ner,46.5,2015
ner,46.5,9999
nga,5576,1990
nga,4110,2000
nga,3377,2005
nga,2645,2010
nga,1912,2015
nga,1912,9999
nic,809,2005
nic,612,2010
nic,612,2015
nic,612,9999
nld,31,1990
nld,4,2000
nld,4,2005
nld,4,2010
nld,3,2015
nld,3,9999
nor,6834,1990
nor,6772,2000
nor,6717,2005
nor,6675,2010
nor,6633,2015
nor,6633,9999
npl,109,1990
npl,206,2000
npl,185,2005
npl,380,2010
npl,550,2015
npl,550,9999
nru,0,1990
nru,0,2000
nru,0,2005
nru,0,2010
nru,0,2015
nru,0,9999
nzl,1772,1990
nzl,2018,2000
nzl,2130,2005
nzl,2073,2010
nzl,2065,2015
nzl,2065,9999
omn,2,1990
omn,2,2000
omn,2,2005
omn,2,2010
omn,2,2015
omn,2,9999
pak,708,1990
pak,677,2000
pak,608,2005
pak,540,2010
pak,471,2015
pak,471,9999
pan,488,1990
pan,465,2000
pan,454,2005
pan,443,2010
pan,432,2015
pan,432,9999
per,39877,1990
per,39877,2000
per,25175,2005
per,24900,2010
per,17881,2015
per,17881,9999
phl,4527,1990
phl,5228,2000
phl,5386,2005
phl,5230,2010
phl,6175,2015
phl,6175,9999
plw,0,1990
plw,0,2000
plw,0,2005
plw,0,2010
plw,0,2015
plw,0,9999
png,3994,1990
png,7474,2000
png,7311,2005
png,7132,2010
png,8758,2015
png,8758,9999
pol,4192,1990
pol,3569,2000
pol,3788,2005
pol,3714,2010
pol,3714,2015
pol,3714,9999
prk,7072,1990
prk,5804,2000
prk,5170,2005
prk,4537,2010
prk,3902,2015
prk,3902,9999
prt,1864.01,1990
prt,1766.62,2000
prt,1702.9,2005
prt,1647.84,2010
prt,1586.6,2015
prt,1586.6,9999
pry,22.6,1990
pry,36,2000
pry,43,2005
pry,56,2010
pry,98,2015
